asset_id,material,service_type,diameter_mm,initial_thickness_mm,install_year,environment_severity,actual_total_loss_mm,expected_loss_physics_mm,residual_loss_mm,early_slope_mm_per_month,late_slope_mm_per_month,accel_ratio,pressure_mean,pressure_std,flow_mean,flow_std,temperature_mean,temperature_std,vibration_mean,vibration_std,n_sensor_glitches,is_anomalous_label,anomaly_onset_month,wall_loss_pct,remaining_strength_factor,b31g_severity_class,rf_severity_proba,iso_max_anomaly_score,risk_score
AST-0051,Carbon Steel - Uncoated,Sour/Wet,324,12.41,1995,0.431,4.424,1.95,2.474,0.04856,0.19722,4.062,55.219166666666666,2.7155198134322007,263.2122222222223,19.54460964944571,45.86111111111111,3.6862910339935975,1.4416666666666669,0.1741747890564451,0,True,24,36.23,0.9478,Safe,0.884231010558493,0.4127363865170138,53.1
AST-0108,Carbon Steel - Uncoated,Sweet/Dry,406,10.71,2011,0.795,1.603,0.9,0.703,0.01772,0.07133,4.025,85.11722222222222,3.043133358057222,651.6933333333333,18.5502600674877,28.92388888888889,3.68442845172396,1.822222222222222,0.1996929229894326,0,True,20,15.14,0.9805,Safe,0.9142811465298221,0.3804992638963514,52.1
AST-0114,Carbon Steel - Coated,Sweet/Dry,508,10.58,1997,0.907,1.528,0.36,1.168,0.0155,0.06939,4.477,67.17388888888888,2.723776032095128,541.1086111111113,15.356795825167204,46.94555555555556,3.735872775781504,1.8491111111111111,0.2169418325961102,0,True,22,14.67,0.9855,Safe,0.9120862410504367,0.3824377053525774,51.9
AST-0132,Low Alloy Steel,Sweet/Dry,273,8.52,2014,0.098,1.663,0.6,1.063,0.01406,0.07833,5.573,75.93277777777777,2.575278748974688,246.19222222222217,16.534203702128874,21.176944444444448,3.599329159277517,1.7874166666666669,0.235662031004451,0,True,23,19.81,0.9352,Safe,0.8914565595330824,0.3627054047514804,51.6
AST-0057,Carbon Steel - Uncoated,Sweet/Dry,508,12.18,1985,0.861,2.32,0.9,1.42,0.03283,0.09606,2.926,85.63805555555555,9.789724589572604,446.8088888888889,19.056664192841573,42.016666666666666,3.921464740920886,2.9218333333333337,0.5399144641250396,1,True,24,19.27,0.9674,Safe,0.7941837086713751,0.4319843077359474,48.5
AST-0146,Carbon Steel - Uncoated,Mixed,273,12.85,2002,0.515,1.585,1.35,0.235,0.02339,0.06467,2.765,79.39666666666668,2.8309019259391017,248.5230555555556,17.650165490028606,41.520833333333336,3.7145369832591513,2.342194444444444,0.2542046216781663,0,True,15,12.36,0.9883,Safe,0.8005599390416365,0.4259202431103854,47.8
AST-0055,Carbon Steel - Coated,Sweet/Dry,324,12.41,1988,0.86,0.86,0.36,0.5,0.01228,0.0355,2.891,67.20166666666668,2.52200883650882,544.2161111111112,78.09799713099572,16.172222222222228,3.9146473011068954,0.7299722222222222,0.1027567129850505,1,True,24,7.07,0.9927,Safe,0.7435932958807606,0.4938554398917772,47.7
AST-0101,Low Alloy Steel,Sour/Wet,324,8.44,1990,0.279,1.447,1.35,0.097,0.02739,0.053,1.935,52.7975,2.3815761587654505,670.6569444444444,16.42539528890631,26.49277777777777,3.7165080470102665,1.64425,0.1168081149333628,0,True,21,17.37,0.9455,Safe,0.8007390102299988,0.3893771467014787,47.6
AST-0089,Carbon Steel - Uncoated,Sweet/Dry,324,8.41,2006,0.764,1.104,0.9,0.204,0.01839,0.04294,2.335,57.29333333333333,2.5198072488642,675.1569444444444,19.870413011660528,23.851388888888888,3.930390131691966,2.9018333333333337,0.1102891006141844,0,True,18,13.4,0.9731,Safe,0.8012598782874621,0.3726798568161719,45.9
AST-0066,Carbon Steel - Coated,Sour/Wet,406,12.81,1996,0.732,2.212,0.78,1.432,0.05211,0.07078,1.358,85.31666666666666,2.6919233697435416,490.4616666666668,17.461499608321976,31.86361111111111,3.719424035886492,1.4309166666666664,0.1308915308839454,0,True,11,17.45,0.9869,Safe,0.8145493483056759,0.3435829427373924,44.8
AST-0002,Carbon Steel - Uncoated,Mixed,508,13.49,1990,0.773,1.112,1.35,-0.238,0.01633,0.04544,2.782,62.63722222222222,2.8319217211852155,373.8372222222222,19.505373415125693,50.653333333333336,3.7948385999934175,2.9313333333333333,0.1414579190329861,0,True,18,8.32,0.9964,Safe,0.7462791133773421,0.3658650426616824,41.8
AST-0103,Carbon Steel - Uncoated,Sweet/Dry,219,10.89,1993,0.198,0.779,0.9,-0.121,0.00756,0.03572,4.728,45.25194444444445,2.7632763363643367,709.1305555555556,105.72848679368556,38.025000000000006,4.032073199448924,1.4455833333333332,0.2015448018254431,1,True,22,7.21,0.9878,Safe,0.5979006787337792,0.5112743318014735,40.9
AST-0120,Carbon Steel - Coated,Sweet/Dry,406,12.3,2014,0.958,0.618,0.36,0.258,0.00667,0.02767,4.15,71.13,9.828823501750932,571.6697222222222,92.09506229934716,45.52,3.4812518273911595,0.8146666666666667,0.3274150707762679,2,True,27,5.22,0.9945,Safe,0.5848040734284844,0.5144218189664354,40.1
AST-0115,Carbon Steel - Uncoated,Mixed,610,10.53,1997,0.798,1.326,1.35,-0.024,0.03106,0.04261,1.372,74.56944444444444,2.777461270857096,271.4222222222222,16.68483676209563,24.948611111111116,3.563293943833252,2.098055555555556,0.1230484096244689,0,True,9,12.69,0.9925,Safe,0.6289163594924927,0.4326069165167825,38.7
AST-0135,Carbon Steel - Coated,Sour/Wet,219,6.93,1993,0.108,0.744,0.78,-0.036,0.0095,0.03183,3.351,74.72305555555555,10.23931661208597,542.0811111111111,14.537772432583592,26.11305555555556,3.6809896335822088,1.605722222222222,0.4830494568652135,1,True,23,11.2,0.9909,Safe,0.5253775487894692,0.4294332779457036,33.1
AST-0088,Carbon Steel - Uncoated,Sour/Wet,406,13.57,1990,0.961,2.784,1.95,0.834,0.0785,0.07617,0.97,66.70916666666668,14.194907210485235,722.218611111111,16.147566495610373,50.63694444444444,3.594788942300025,1.9713611111111116,0.8322792166361265,1,False,-1,21.09,0.877,Monitor,0.3558911802879785,0.5214849089257376,32.3
AST-0016,Carbon Steel - Uncoated,Sweet/Dry,406,11.1,1991,0.747,1.215,0.9,0.315,0.03072,0.03678,1.197,71.89,9.992950944111982,402.7361111111111,17.62865966508236,53.5111111111111,3.556441863739477,2.7521944444444446,0.460980186710538,1,False,-1,11.13,0.9558,Safe,0.40268159165879874,0.525627287659466,32.2
AST-0050,Carbon Steel - Uncoated,Sweet/Dry,508,10.85,1993,0.078,1.008,0.9,0.108,0.02406,0.03194,1.328,48.77166666666666,12.213940162196405,321.6633333333333,15.139749762038432,48.82111111111112,3.732951170916175,2.3667777777777776,0.7214567054077309,1,True,10,9.37,0.9832,Safe,0.47007586549827474,0.4643212075056303,32.0
AST-0005,Carbon Steel - Uncoated,Sweet/Dry,508,11.84,1978,0.965,1.48,0.9,0.58,0.04,0.04222,1.056,80.38027777777778,17.98346025596236,240.80888888888887,20.007762604660336,41.42833333333333,3.5749385609106232,2.638,0.9215404804689032,1,False,-1,12.66,0.9259,Safe,0.34290338477115784,0.5444640324962065,30.9
AST-0061,Carbon Steel - Coated,Sour/Wet,219,7.61,2002,0.311,0.768,0.78,-0.012,0.01294,0.02972,2.296,54.97472222222223,3.0195434717483,649.1863888888888,17.68579287011031,17.952222222222225,3.605975288015404,2.480555555555556,0.2987525918065166,0,True,14,10.33,0.9589,Safe,0.475254698632318,0.4041054311823742,30.3
AST-0083,Carbon Steel - Coated,Mixed,610,9.67,2009,0.067,0.854,0.54,0.314,0.02083,0.02661,1.277,78.01222222222222,15.754524449659556,782.9988888888888,14.335399098092369,29.322777777777773,3.944619200242355,3.136805555555555,0.747747658713226,1,True,10,9.0,0.9912,Safe,0.3686416064143794,0.525546443845411,29.1
AST-0072,Carbon Steel - Uncoated,Sweet/Dry,406,13.84,1978,0.596,0.948,0.9,0.048,0.02217,0.0305,1.376,59.64,2.751451564953618,779.3788888888889,19.11927386214949,24.464722222222218,3.3907230464574627,1.2189444444444444,0.2094471558916738,0,True,9,6.85,0.9863,Safe,0.4675432001344363,0.4056864885788162,29.0
AST-0039,Carbon Steel - Uncoated,Sour/Wet,508,13.18,2002,0.785,2.198,1.95,0.248,0.063,0.05911,0.938,68.44194444444445,21.187755873811977,375.9711111111111,62.051387495838725,18.386666666666667,3.7427049042103215,1.3022777777777776,0.5601532245025774,4,False,-1,17.1,0.8955,Monitor,0.27384118887982345,0.5161442750909313,27.0
AST-0073,Low Alloy Steel,Sour/Wet,406,10.89,1986,0.998,1.495,1.35,0.145,0.04294,0.04011,0.934,81.76194444444444,14.938536898991805,626.6227777777777,92.07858279321177,48.85944444444445,4.064757201987729,3.120638888888889,1.254808992926875,2,False,-1,14.16,0.9179,Safe,0.22529591886733427,0.5854327972545332,26.8
AST-0022,Carbon Steel - Uncoated,Sour/Wet,324,12.6,1983,0.515,1.538,1.95,-0.412,0.04556,0.03989,0.876,86.93361111111112,14.518007764305832,631.8402777777778,16.526181909081824,56.87277777777777,3.729787133804296,3.069527777777777,1.4183615595087395,1,False,-1,12.71,0.9315,Safe,0.17898846364416818,0.5789360381801487,23.5
AST-0150,Carbon Steel - Uncoated,Sour/Wet,219,6.96,2001,0.849,1.879,1.95,-0.071,0.05272,0.05167,0.98,43.07611111111111,2.3717085797588173,754.9,14.949382022583505,25.04388888888889,3.773738031469425,1.83875,0.0432932690248396,0,False,-1,28.07,0.7994,Monitor,0.2427325382581789,0.4022348447910057,23.4
AST-0021,Carbon Steel - Coated,Sweet/Dry,324,9.63,2004,0.788,0.173,0.36,-0.187,0.00178,0.00783,4.406,59.931666666666665,2.1286004791881448,283.8494444444444,48.85749557609613,32.8138888888889,3.762757558552563,1.4154722222222222,0.0581949856019086,1,False,-1,2.12,0.986,Safe,0.2736596867700088,0.463951940329169,21.3
AST-0015,Carbon Steel - Uncoated,Sour/Wet,406,12.8,2007,0.324,1.803,1.95,-0.147,0.05261,0.04756,0.904,83.75500000000001,10.198188774763596,666.4038888888889,103.1131459896022,20.664166666666663,3.812753317111252,0.8770833333333334,0.1953365410918149,2,False,-1,14.47,0.9151,Safe,0.17406074206025088,0.5151350137853956,20.9
AST-0099,Carbon Steel - Uncoated,Sweet/Dry,168,7.07,2004,0.671,1.308,0.9,0.408,0.03744,0.03522,0.941,54.10583333333333,2.5296633034005587,237.5808333333333,17.82614426301196,29.33361111111111,3.786691848926997,2.0611944444444448,0.0476887644416192,0,False,-1,18.93,0.8684,Monitor,0.2908405569861024,0.3337235740974473,20.3
AST-0019,Carbon Steel - Coated,Sweet/Dry,168,11.49,1989,0.168,0.34,0.36,-0.02,0.00517,0.01372,2.656,47.93722222222223,2.7795247395513103,760.5241666666666,18.4096366651506,26.33138888888889,3.7061694917511936,2.329833333333333,0.1801230531767499,0,True,13,2.94,0.9937,Safe,0.3306897496570091,0.3591249244701673,19.3
AST-0020,Carbon Steel - Coated,Mixed,168,6.1,1975,0.089,0.2,0.54,-0.34,0.00283,0.00828,2.922,58.00527777777778,7.247520752884539,597.1552777777779,18.76220570129689,39.98444444444445,3.748920945281223,0.7896388888888888,0.1881533041777791,1,False,-1,3.07,0.9788,Safe,0.2172458250575459,0.4747027672699637,19.1
AST-0043,Carbon Steel - Coated,Sweet/Dry,508,12.21,2011,0.097,0.081,0.36,-0.279,-0.0005,0.005,5000.0,66.35166666666666,2.6412448363819445,704.161111111111,103.94835106993632,55.95583333333334,3.8126101857613808,1.8103333333333331,0.05455063178893,1,False,-1,0.59,0.9973,Safe,0.2593188011266412,0.4247742587070329,18.4
AST-0084,Carbon Steel - Uncoated,Sour/Wet,610,12.27,2007,0.481,1.702,1.95,-0.248,0.0495,0.04506,0.91,51.58722222222221,13.603490226747189,616.7230555555556,18.96376602432641,49.02972222222222,3.920360396050423,1.9569444444444448,0.5424570526486442,1,False,-1,14.14,0.9617,Safe,0.20662986912024203,0.4597900401721581,18.4
AST-0140,Carbon Steel - Uncoated,Sweet/Dry,610,8.67,1975,0.446,0.318,0.9,-0.582,0.00661,0.01106,1.672,85.24944444444446,10.813675718259844,547.6552777777779,85.05391149101042,41.92972222222222,3.754681258003981,1.962388888888889,0.8373446219287587,2,False,-1,3.73,0.9893,Safe,0.15860322685381034,0.5341876410026929,18.3
AST-0030,Carbon Steel - Coated,Sour/Wet,273,13.98,2010,0.812,1.018,0.78,0.238,0.02878,0.02778,0.965,54.26305555555555,7.9131441536740255,795.3311111111111,15.558101385778382,16.994444444444444,3.459560206933365,2.9208333333333334,1.0857301558990482,1,False,-1,7.55,0.9606,Safe,0.1692238162959755,0.5010425187588771,18.3
AST-0037,Carbon Steel - Uncoated,Sweet/Dry,219,11.2,2009,0.692,1.129,0.9,0.229,0.03078,0.03194,1.038,81.795,2.6741690298109426,235.21277777777777,50.264778046495856,48.53833333333333,3.439467982115838,2.9862777777777776,0.0488493960255753,2,False,-1,10.43,0.9322,Safe,0.3022242277993409,0.3202347520857485,18.1
AST-0018,Carbon Steel - Uncoated,Mixed,219,10.71,2002,0.379,0.328,1.35,-1.022,0.00756,0.01067,1.412,82.13722222222223,21.10757692138213,620.24,18.566716457144487,45.24111111111111,4.012545880665347,2.7911944444444443,0.9753935123673182,1,False,-1,3.19,0.9853,Safe,0.10559969857831215,0.5830521028382973,17.9
AST-0092,Carbon Steel - Coated,Sour/Wet,508,11.19,1989,0.902,0.9,0.78,0.12,0.02694,0.02306,0.856,84.66611111111109,15.854978898535812,206.52611111111116,37.885272244183135,38.53305555555555,3.582780898722941,2.925388888888888,1.0508140321478057,3,False,-1,8.32,0.9468,Safe,0.07163518390762223,0.5820151287540397,17.4
AST-0096,Carbon Steel - Coated,Mixed,219,9.23,1995,0.553,0.236,0.54,-0.304,0.00544,0.00767,1.408,77.9438888888889,6.545316876658686,537.4944444444445,76.24494866432397,20.040277777777774,3.542503139315969,2.9586944444444447,0.9205196612921404,2,False,-1,2.7,0.9844,Safe,0.11178293158369303,0.5535077951049994,16.9
AST-0038,Carbon Steel - Uncoated,Sweet/Dry,273,6.72,2017,0.728,0.362,0.9,-0.538,0.00867,0.01144,1.321,81.63361111111112,2.262805026355914,574.1525,94.87447786794024,50.63055555555556,3.3691210760963792,2.2965555555555555,0.0496659955211924,1,False,-1,5.64,0.9612,Safe,0.20995760037951988,0.4209127208982963,16.8
AST-0090,Carbon Steel - Coated,Sweet/Dry,508,10.62,1998,0.564,0.368,0.36,0.008,0.01039,0.01006,0.968,82.8261111111111,17.8765260731621,728.7905555555557,117.74856611670346,33.91972222222222,3.87998710315317,1.7052222222222222,0.5692552082005855,2,False,-1,3.52,0.9799,Safe,0.030923936587733618,0.6431789847598632,16.8
AST-0148,Carbon Steel - Coated,Mixed,273,7.23,2017,0.46,0.272,0.54,-0.268,0.00733,0.00778,1.061,90.60972222222222,23.40934495771307,321.5558333333334,16.95728522325603,38.29111111111112,4.05190733061271,2.0932500000000003,0.9267727530059812,2,False,-1,3.78,0.9736,Safe,0.038224190718936096,0.6229807062815967,16.5
AST-0079,Carbon Steel - Coated,Sour/Wet,324,7.39,1998,0.178,0.557,0.78,-0.223,0.01456,0.01639,1.126,49.85916666666665,6.066730526874776,756.1677777777777,123.03369431898638,53.94638888888889,3.555465935130446,3.1037777777777777,0.7931985559784821,2,False,-1,7.71,0.9654,Safe,0.0668963441330153,0.5692616279172263,15.9
AST-0035,Carbon Steel - Uncoated,Sour/Wet,219,13.99,1983,0.096,1.643,1.95,-0.307,0.04694,0.04433,0.944,45.52083333333333,2.595180560742767,204.4672222222222,19.69182493336637,48.31444444444444,3.640253087311725,2.962527777777778,0.050969731135876,0,False,-1,12.26,0.9247,Safe,0.2409125245733269,0.3387123499830866,15.9
AST-0097,Carbon Steel - Uncoated,Sour/Wet,508,9.79,1997,0.755,1.478,1.95,-0.472,0.041,0.04111,1.003,43.65138888888888,2.599648495775401,303.9425,19.661629401305625,55.31833333333333,3.7310301143632856,1.2816111111111113,0.0462343581443051,0,False,-1,15.6,0.904,Safe,0.21288416126369192,0.3420794570672653,15.3
AST-0124,Carbon Steel - Uncoated,Sour/Wet,168,8.89,1982,0.962,1.562,1.95,-0.388,0.04433,0.04244,0.957,46.25111111111111,2.651291628921137,548.7905555555554,14.859394324215891,21.307222222222222,3.5437418570215224,0.7595277777777778,0.0448906519770055,0,False,-1,18.12,0.8801,Monitor,0.21120824179468103,0.3206265535183776,15.0
AST-0110,Low Alloy Steel,Sour/Wet,324,6.29,1989,0.502,1.455,1.35,0.105,0.04378,0.03706,0.846,57.10694444444445,2.5899198216430723,758.8188888888888,17.079027369057517,18.466388888888886,3.982877748403805,1.161472222222222,0.0441306411925262,0,False,-1,23.93,0.8317,Monitor,0.17223482569553292,0.3202342781025728,14.6
AST-0013,Carbon Steel - Coated,Sweet/Dry,508,13.61,1981,0.971,0.605,0.36,0.245,0.01778,0.01583,0.891,46.41444444444444,2.4990220309375246,713.5905555555556,105.7573695357024,22.76888888888889,3.826130292589761,0.8528055555555556,0.0407064890891889,1,False,-1,4.53,0.9863,Safe,0.11546641066177658,0.4868151972585711,13.9
AST-0017,Carbon Steel - Coated,Mixed,219,6.98,2014,0.762,0.107,0.54,-0.433,0.00039,0.00556,14.286,56.94472222222223,10.713674702683514,508.1997222222223,15.234717210767768,52.5863888888889,3.417069883292056,1.1141944444444445,0.5398317631815328,2,False,-1,1.36,0.9906,Safe,0.23329143906016558,0.3506294850734109,13.8
AST-0119,Carbon Steel - Uncoated,Sweet/Dry,219,8.53,2017,0.67,0.253,0.9,-0.647,0.01022,0.00383,0.375,84.10138888888889,2.3325267143198736,715.0122222222222,102.34164755119036,59.76472222222223,4.02997234028871,2.060888888888889,0.0486543363375192,1,False,-1,3.04,0.9795,Safe,0.10200925590981569,0.4935190343491202,13.7
AST-0056,Carbon Steel - Coated,Sweet/Dry,324,13.42,1982,0.381,0.471,0.36,0.111,0.014,0.01217,0.869,45.1525,9.005558719876456,502.54333333333335,78.55268848722766,32.04777777777778,3.5278144680006798,0.9628888888888888,0.5081672827933605,3,False,-1,3.73,0.9779,Safe,0.0573110329833736,0.5410233076987461,13.6
AST-0054,Carbon Steel - Coated,Sweet/Dry,508,6.46,1981,0.276,0.086,0.36,-0.274,0.00228,0.0025,1.098,60.5661111111111,2.7643601975117678,774.3083333333334,114.872454972585,53.40194444444445,3.4538143050789887,1.2440833333333334,0.0463522999891668,1,False,-1,1.21,0.9924,Safe,0.09035986087923983,0.5117829074889821,13.5
AST-0049,Carbon Steel - Coated,Sweet/Dry,610,6.41,1976,0.693,0.458,0.36,0.098,0.01078,0.01467,1.361,60.90555555555555,2.8415794847679274,663.4647222222222,15.27602743537564,29.62861111111111,3.7027728241551072,1.98225,0.0413758901501137,0,False,-1,7.36,0.9589,Safe,0.21281494598221595,0.337106350947619,13.1
AST-0102,Carbon Steel - Coated,Mixed,406,9.42,1996,0.356,0.185,0.54,-0.355,0.00306,0.00722,2.364,81.96138888888889,2.540199264149824,633.4225000000001,19.03120015358238,32.196666666666665,3.638130603168925,2.014805555555556,0.0421404586350013,0,False,-1,2.29,0.9858,Safe,0.2027520616842045,0.3688285399809892,13.1
AST-0008,Carbon Steel - Coated,Sour/Wet,324,12.24,2008,0.158,0.605,0.78,-0.175,0.01506,0.01856,1.232,42.47805555555556,10.528222430196015,778.1533333333333,16.32704784792926,51.84222222222222,3.518659737628284,2.435888888888889,0.6090236109792121,1,False,-1,4.97,0.9798,Safe,0.10588869697172987,0.4675049562905093,12.7
AST-0010,Carbon Steel - Uncoated,Sour/Wet,610,9.01,1988,0.468,1.485,1.95,-0.465,0.04328,0.03922,0.906,61.84333333333333,2.6720671505676745,263.3002777777777,18.276224912806587,21.952222222222225,3.484291369734504,2.6513611111111115,0.0555266488288167,0,False,-1,17.01,0.9059,Safe,0.17613425879945177,0.3291933486550696,12.7
AST-0068,Carbon Steel - Uncoated,Sweet/Dry,610,11.88,2000,0.999,0.489,0.9,-0.411,0.01228,0.01489,1.213,42.05499999999999,2.6514184882813194,636.4722222222222,98.28613784284887,55.68222222222222,3.6981053922330944,2.9594444444444443,0.0520139785851262,1,False,-1,4.31,0.9745,Safe,0.05254955675802555,0.5221536062965676,12.6
AST-0023,Low Alloy Steel,Sweet/Dry,219,8.36,2007,0.986,1.039,0.6,0.439,0.03111,0.02661,0.855,56.95527777777777,2.918941575406216,801.9219444444444,18.327490642583022,28.72972222222222,3.7851533172278025,0.6577777777777779,0.0523117638291869,0,False,-1,12.78,0.9092,Safe,0.161757993559048,0.3425213140670803,12.4
AST-0125,Carbon Steel - Uncoated,Sour/Wet,508,10.1,1975,0.148,1.319,1.95,-0.631,0.04078,0.0325,0.797,84.78222222222223,2.85459340223148,230.43055555555557,20.75376990806309,54.19388888888889,3.5034124407723866,1.068277777777778,0.0546205670897542,0,False,-1,13.59,0.9143,Safe,0.17673195338929842,0.3285575393611158,12.4
AST-0014,Carbon Steel - Coated,Sweet/Dry,273,6.95,2005,0.985,0.569,0.36,0.209,0.01783,0.01378,0.773,50.66305555555556,8.008312045955554,278.4952777777778,19.39095908423173,25.736388888888893,3.9860063456173256,0.695861111111111,0.1030090572377782,1,False,-1,8.58,0.9398,Safe,0.10815558885588909,0.4183566277716094,12.0
AST-0048,Carbon Steel - Uncoated,Mixed,324,6.04,2007,0.539,1.07,1.35,-0.28,0.02928,0.03017,1.03,45.25277777777777,2.7182763562975616,706.2458333333333,18.97401145552215,47.070277777777775,4.093838915186096,0.8521388888888887,0.0446933378082734,0,False,-1,17.95,0.8843,Monitor,0.12458437575022732,0.3476875608231899,11.5
AST-0028,Carbon Steel - Uncoated,Mixed,273,12.25,1982,0.131,0.763,1.35,-0.587,0.021,0.02139,1.019,61.35111111111111,12.615537988138229,387.2152777777778,16.286342654613783,46.417777777777786,3.8237439477268578,2.684527777777778,0.7494276477461645,1,False,-1,6.27,0.9631,Safe,0.01999197931092924,0.518591341677106,11.1
AST-0069,Carbon Steel - Uncoated,Mixed,610,7.54,2006,0.332,0.677,1.35,-0.673,0.01972,0.01789,0.907,75.61722222222221,16.303399577320604,295.38388888888886,17.46652541745868,24.47833333333333,4.047001359031153,2.7916944444444445,0.5494179683703965,1,False,-1,9.18,0.9402,Safe,0.015284828314824821,0.5026133958962322,10.9
AST-0137,Low Alloy Steel,Sweet/Dry,508,12.74,1981,0.247,0.417,0.6,-0.183,0.01178,0.01139,0.967,54.3325,7.479310653873314,484.1388888888889,14.74451235017437,36.45888888888889,3.801178597508768,1.618277777777778,0.557398016866179,1,False,-1,3.37,0.9817,Safe,0.025300302201122022,0.5164058584812249,10.6
AST-0047,Carbon Steel - Uncoated,Sour/Wet,324,6.29,2010,0.054,0.482,1.95,-1.468,0.01383,0.01294,0.936,79.42722222222224,2.2414951784290404,544.6394444444445,85.00685316724073,21.34472222222222,3.6706624439980553,2.089305555555556,0.0426687034484088,1,False,-1,7.92,0.9538,Safe,0.07623737405214324,0.4268353173397707,10.1
AST-0045,Carbon Steel - Coated,Sweet/Dry,508,13.29,1989,0.641,0.174,0.36,-0.186,0.00461,0.00506,1.096,82.24777777777778,2.220336024905253,659.0652777777777,95.3207242789494,53.08027777777777,3.745382289174697,2.109888888888889,0.0483940833324416,1,False,-1,1.5,0.9947,Safe,0.09328431769188388,0.4317285245802379,9.9
AST-0142,Carbon Steel - Uncoated,Sweet/Dry,508,8.51,1986,0.156,0.525,0.9,-0.375,0.01589,0.01328,0.836,75.4072222222222,2.319262950792909,659.3519444444445,91.64014737219068,39.28694444444445,3.6634026489390954,1.2091944444444445,0.0410489738479325,1,False,-1,6.49,0.9614,Safe,0.07458266342857162,0.4269873638339395,9.8
AST-0095,Carbon Steel - Uncoated,Sour/Wet,168,10.07,1989,0.914,1.064,1.95,-0.886,0.02939,0.02972,1.011,74.03166666666667,2.6502188588869413,433.9841666666666,88.51887225332233,30.514444444444443,3.759537543326644,1.1111944444444444,0.0404466628992125,2,False,-1,10.74,0.9279,Safe,0.04069800866864876,0.440393298901045,9.8
